article;publication_date;location;latitude;longitude;country;continent;admin1;admin2;geonames_class;geonames_code;label;confidence;user_label;dates;diseases;species;cases;symptoms;keywords;url;source;article_user_label;rss_feed;rss_feed_reliability
1ccb64c89a;2016-02-19;Harare;-17.82772;31.05337;Zimbabwe;Africa;Harare;;P;PPLC;correct;1;;;African swine fever;Porcine;;Fever;outbreaks,outbreak,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19180;mbabwe : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
5f54c7943e;2016-01-28;Kiev;50.45466;30.5238;Ukraine;Europe;Kyiv City;;P;PPLC;correct;1;;2015-09-08;African swine fever;Porcine;'*NL* 22/10 / 2015 *NL* Report date','*NL* 28/01 / 2016 *NL* Reason for','*NL* 25/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*';Fever,Mortality;disease,virus,outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19632;raine : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Viljandimaa;58.33333;25.566669;Estonia;Europe;Viljandimaa;;A;ADM1;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Tartumaa;58.38065;26.72496;Estonia;Europe;Tartu;;A;ADM1;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Tartu;58.38062;26.72509;Estonia;Europe;Tartu;795;P;PPLA;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Raplamaa;58.96667;24.700001;Estonia;Europe;Raplamaa;;A;ADM1;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Valgamaa;57.91667;26.16667;Estonia;Europe;Valgamaa;;A;ADM1;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Date-gun;37.73205;140.588776;Japan;Asia;Fukushima;2112979;A;ADM2;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Knott County;37.35405;-82.954132;United States;North America;Kentucky;119;A;ADM2;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
8fe918d053;2016-02-08;Sus;43.30639;-0.76639;France;Europe;97;64;A;ADM4;correct;1;;2016-06-02;African swine fever;Porcine;'*NL* 17/01 / 2016 *NL* Outbreak status','*NL* 19/01 / 2016 *NL* Outbreak status','*NL* 20/01 / 2016 *NL* Outbreak status','*NL* 21/01 / 2016 *NL* Outbreak status','*NL* 22/01 / 2016 *NL* Outbreak status','*NL* 23/01 / 2016 *NL* Outbreak status','0 *NL* Outbreak 17 *NL* Torma parish','0 *NL* Outbreak 18 *NL* Saarde parish','0 *NL* Outbreak 19 *NL* Mniste parish','0 *NL* Outbreak 20 *NL* Tarvastu parish','0 *NL* Outbreak 21 *NL* Laeva parish','0 *NL* Outbreak 22 *NL* Ambla parish','*NL* 24/01 / 2016 *NL* Outbreak status','*NL* 26/01 / 2016 *NL* Outbreak status','*NL* 27/01 / 2016 *NL* Outbreak status','*NL* 0 *NL* 0 *NL* Summary of','*NL* 0 *NL* 0 *NL* Outbreak statistics','*NL* 25/01 / 2016 *NL* Positive *NL*','*NL* 26/01 / 2016 *NL* Positive *NL*','*NL* 27/01 / 2016 *NL* Positive *NL*','*NL* 28/01 / 2016 *NL* Positive *NL*','*NL* 29/01 / 2016 *NL* Positive *NL*';Fever,Mortality;outbreak,cases,outbreaks,case,infection;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?reportid=19685;tonia : African swine fever;;http://www.oie.int/wahis_2/rss/en/rep_mammiferes.xml;official
